# Histogram
000215 000016	000035	000031	000037	000119
000216 000013	000029	000035	000038	000115
000217 000010	000032	000027	000036	000105
000218 000011	000030	000031	000037	000109
000219 000015	000034	000024	000012	000085
000220 000008	000035	000014	000018	000075
000221 000011	000041	000021	000028	000101
000222 000009	000031	000020	000022	000082
000223 000014	000026	000017	000017	000074
000224 000013	000021	000015	000014	000063
000225 000010	000022	000029	000015	000076
000226 000006	000027	000015	000022	000070
000227 000007	000020	000012	000007	000046
000228 000007	000024	000006	000006	000043
000229 000005	000012	000013	000015	000045
000230 000009	000014	000011	000008	000042
000231 000007	000018	000015	000007	000047
000232 000008	000013	000007	000008	000036
000233 000006	000011	000007	000005	000029
000234 000006	000007	000007	000007	000027
000235 000009	000013	000013	000004	000039
000236 000009	000008	000008	000006	000031
000237 000008	000007	000004	000006	000025
000238 000005	000002	000009	000003	000019
000239 000005	000011	000007	000002	000025
000240 000005	000003	000005	000002	000015
000241 000001	000005	000003	000003	000012
000242 000002	000006	000003	000003	000014
000243 000003	000004	000007	000002	000016
000244 000006	000007	000004	000002	000019
000245 000002	000004	000002	000002	000010
000246 000004	000003	000003	000003	000013
000247 000001	000005	000001	000001	000008
000248 000001	000002	000005	000003	000011
000249 000003	000002	000006	000000	000011
000250 000002	000002	000000	000000	000004
000251 000001	000004	000001	000000	000006
000252 000001	000004	000004	000000	000009
000253 000002	000002	000000	000002	000006
000254 000001	000002	000003	000000	000006
000255 000001	000004	000001	000001	000007
000256 000002	000001	000002	000001	000006
000257 000001	000003	000000	000000	000004
000258 000002	000001	000001	000000	000004
000259 000000	000002	000001	000000	000003
000260 000001	000003	000001	000000	000005
000261 000001	000001	000000	000000	000002
000262 000001	000000	000002	000000	000003
000263 000001	000000	000001	000000	000002
000264 000000	000000	000000	000000	000000
000265 000000	000002	000000	000000	000002
000266 000001	000000	000000	000000	000001
000267 000001	000000	000001	000000	000002
000268 000001	000001	000000	000000	000002
000269 000000	000000	000000	000001	000001
000270 000000	000000	000001	000000	000001
000271 000001	000001	000001	000001	000004
000272 000000	000000	000001	000000	000001
000273 000000	000001	000001	000000	000002
000274 000000	000000	000000	000000	000000
000275 000000	000001	000000	000000	000001
000276 000000	000000	000000	000000	000000
000277 000000	000000	000001	000001	000002
000278 000000	000000	000000	000000	000000
000279 000000	000001	000000	000000	000001
000280 000000	000000	000001	000000	000001
000281 000000	000000	000000	000000	000000
000282 000000	000000	000000	000000	000000
000283 000000	000000	000000	000001	000001
000284 000001	000001	000001	000000	000003
000285 000000	000000	000000	000000	000000
000286 000000	000001	000001	000000	000002
000287 000000	000000	000000	000000	000000
000288 000000	000000	000000	000000	000000
000289 000000	000000	000000	000000	000000
000290 000000	000000	000000	000000	000000
000291 000000	000000	000000	000000	000000
000292 000000	000000	000000	000000	000000
000293 000000	000000	000000	000000	000000
000294 000000	000000	000000	000000	000000
000295 000000	000000	000000	000000	000000
000296 000000	000000	000000	000000	000000
000297 000000	000000	000000	000000	000000
000298 000000	000000	000000	000000	000000
000299 000000	000000	000000	000000	000000
000300 000000	000000	000000	000000	000000
000301 000000	000000	000000	000000	000000
000302 000000	000000	000000	000000	000000
000303 000000	000000	000000	000000	000000
000304 000000	000000	000000	000000	000000
000305 000000	000000	000000	000000	000000
000306 000000	000000	000000	000000	000000
000307 000000	000000	000000	000000	000000
000308 000000	000000	000000	000000	000000
000309 000000	000000	000000	000000	000000
000310 000000	000001	000000	000000	000001
000311 000000	000001	000000	000000	000001
000312 000000	000000	000000	000000	000000
000313 000000	000000	000000	000000	000000
000314 000000	000000	000000	000000	000000
000315 000000	000000	000000	000000	000000
000316 000000	000000	000000	000000	000000
000317 000000	000000	000000	000000	000000
000318 000000	000000	000000	000000	000000
000319 000000	000000	000000	000000	000000
000320 000000	000000	000000	000000	000000
000321 000000	000000	000000	000000	000000
000322 000000	000000	000000	000000	000000
000323 000000	000000	000000	000000	000000
000324 000000	000000	000000	000000	000000
000325 000000	000000	000000	000000	000000
000326 000000	000000	000000	000000	000000
000327 000000	000000	000000	000000	000000
000328 000000	000000	000000	000000	000000
000329 000000	000000	000000	000000	000000
000330 000000	000001	000000	000000	000001
000331 000000	000000	000000	000000	000000
000332 000000	000000	000000	000000	000000
000333 000000	000000	000000	000000	000000
000334 000000	000000	000000	000000	000000
000335 000000	000000	000000	000000	000000
000336 000000	000000	000000	000000	000000
000337 000000	000000	000000	000000	000000
000338 000000	000000	000000	000000	000000
